origin,origin_region
DEN8,NW
BOS5,NE
NSRR-RUTHERFORD,NE
CSXT-CHAMBERSBURG-MC,NE
RDFS-DET,MW
SNC3,SE
GEU3,SW
AZA4,SW
VBW1,NE
UTX7,TX
ROMEOVIL_60446_4285_383,MW
SMF3,SW
TORTX,TX
REHRIG_LA,SW
MCO3,SE
PICORP_BALTIMORE_DEPOT,NE
ORBIS_WDM,MW
HLA2,SW
HSF2,SW
LEX2-OSY3-NODE,MW
KC_MARIN_54143_628,MW
KCDC_SOU_75236_4602_262,TX
UNY5,NE
AACT-CIN,MW
KCDC_PAR_754601204_493,TX
BRIMFIEL_44240_8015_322,MW
2310_PEACHTREE_RD,TX
PSP1,SW
NSRR-CALUMET,MW
LAS_VEGA_89115_583,SW
BNSF-BERNARDINO-CE,SW
PDX6,NW
YHM2,
BNSF-HOUSTON-MC,TX
TARGET_92518,SW
QMS2,SE
CLT6,SE
BWI2-DRAY,NE
KCDS_SDALLAS,TX
REHRIG_DAL_2,TX
IND9,MW
BFN2,TX
FECR-MIAMI,SE
HUBG_MARSDEN,SW
111CMJRY7_ITR,MW
SWA_US_BARKBOX2,SW
DFO9,SW
SAX7,SW
MKE1-DRAY,MW
BDL2-DRAY,NE
VMI1,MW
VNY5,NE
1146NHPH3_ITR,NE
SUT2,SW
FWA4,MW
VGT2,SW
HDT1,MW
ILG1,NE
LAL4,SE
PERSEUS DISTRO,SE
DBA7,NE
KBOI,NW
UMA3,NE
BFI3,NW
DXC8,SW
UNV3,SW
QMA5,TX
GRR1,MW
SDF8,MW
ABE3,NE
CMH2,MW
MCO2,SE
TLH2,SE
MIA2,SE
SWA_US_IPOWERI3,SW
MAC7,MW
OUTSIDE BNSF-MEMPHIS,SE
SNJ1,NE
CSXT-SPRINGFIELD-MC,NE
OUTSIDE-CSX-KEARNY-RAMP,NE
REHRIG_DINESOL,MW
IUTB,TX
REHRIG_ORLANDO,SE
UQW6,SW
SWA_US_SHIPBOB4,NE
DUT2,SW
VGA2,SE
KAFW,TX
XCL1,SE
GEG5,NW
XLA8,SW
QMO4,MW
JB_HUNT_DALLAS,TX
2660 LOOMIS RD,SW
VNC6,SE
113H1TMKW_ITR,SE
MEM1,SE
YXX2,
EWR8-OSY-1,NE
CSXT-BEDFORD PARK-MT,MW
DLV2,SW
1159MGNKB_ITR,NE
QLP6,SE
PEW,SW
CARDINAL_60014_856,MW
SMN1,MW
HGR6,NE
SID1,NW
STW1,MW
XRI3,NE
BNSF-SOUTHSEATTLE-CS,NW
TSG_FLEET_FONTANA,SW
BNSF-ELWOOD,MW
DAL3,TX
CSXT-CHAMBERSBURG,NE
CSXT-BALTIMORE,NE
MEX2,
XLA4,SW
YXX1,
QMA9,SE
MGE7,SE
RDU9,SE
CSXT-NORTH KEARNY-SW,NE
BFL2,SW
QPI8,SE
RFD4,MW
HIL2,MW
DDW7,NE
