origin,origin_region
YYZ7,
LGB6,SW
LAS8,SW
CSXT-PHILADELPHIA,NE
MSP6,MW
KELLOGG_MTKI5,MW
V506191_OON_JB,SW
VTX2,TX
OUTSIDE-CSXT-JACKSONVILLE-MT,SE
SIL3,MW
MDT2,NE
STP2,MW
HIL1,MW
MAM9,SW
WIN2,MW
BDLA,NE
YEG2,
DET6,MW
FTW3,TX
XEW2,SE
YHM6,
HUB GROUP SALT LAKE,SW
DMD2,NE
CSXT-CENTRAL FLORIDA ILC-MC,SE
SYR1,NE
SLC3,SW
REHRIG TNT,SW
DCM5,MW
AGS5,SE
HCA6,SW
HJBI-OFFSITE,MW
SHV1,SE
LGB7,SW
EWR9-DRAY,NE
BNSF-LOGPARKAN-CE,MW
MGEY,SE
ABBN7_AZ,SW
116CHYN2H_ITR,SW
DGI1,NE
QMN7,MW
ABQ5,SW
QTX5,TX
HMB1,SE
SNE1,MW
BNSF-CICERO-CS,MW
WTX5,TX
SSP2,MW
VOH1,MW
DCA2,SW
FECR-JACKSONVILLE,SE
DHT2,TX
YYC6,
HMO3,
BNSF-PHOENIX-CS,SW
TUS5,SW
SLA5,SW
BDL40,NE
DMO1,SE
BDL4,NE
LGB3,SW
BNSF-CORWITH-CE,MW
RNT9,NW
CNO5,SW
DOR1,NE
KLAL,SE
IPG___WC_92878_5013_676,SW
DUR9,SW
JB_HUNT___,NE
DSC3,SE
ORBIS_MONTICELLO_IA,MW
QMT1,NW
HAU2,TX
KINSTON__28504_985,SE
XNJ2,NE
GEU2,SW
MAC3,SW
HEA2,NE
ATL8,SE
RTPX,TX
DCA1-DRAY,NE
VUJH,SW
KRFD,MW
QTF8,TX
VFL6,SE
EXLA-WMP015,NE
ACYT,MW
ORD5,MW
SCA7,SW
CLT3,SE
HHO2,TX
AACT-CHR,SE
KCDC_WAR_74037_0001_548,TX
CSXT-BEDFORD PARK-MC,MW
KRB7,SW
DTU7,SW
DJC5,SW
UPRR-LOS ANGELES (ELA),SW
AKC1,MW
DCA1,NE
HFD5,NE
MQJ5,MW
BDU5,NW
HLA3,SW
114B36SP1_ITR,MW
LBB5,TX
BDL7,NE
SNA4,SW
NSRR-MEMPHIS-ROSSVILLE,SE
VTX9,TX
OUTSIDE-BNSF-FAIRBURN,SE
QYY4,NE
REHRIG_PORT_ERIE,NE
JB_HUNT_PHX,SW
GSP3,SE
YXU1,
HJBI_FAIRLESS_HILLS,NE
JB_HUNT_19428,NE
DHO3,TX
DBK1,NE
AVP1-OSY1-NODE,NE
ABQ2,SW
HTX3,TX
BUF9,NE
KSEA,NW
KMCI,MW
STL4,MW
HJBI_EL_PASO,TX
LGA6,NE
KABE,NE
BNSF-CORWITH,MW
WZN1,SW
ELECTROL_29626_6117_622,SE
SWF1,NE
XBRZ,SE
XSE2,NW
NEX13-TX,TX
HME2,SE
7218 ARDMORE ST,TX
OAK4,SW
AFW5,TX
RFD1,MW
MEX6,
QLO1,TX
OLM1,NW
SMF9,SW
SRO1,NE
REHRIG_ERIE,NE
NSRR-ATLANTA-INMAN,SE
WWI6,MW
WET1,SE
IUSM,MW
SAX2,SW
SWA1,NW
HMW1,MW
HSV1,SE
SKY2,MW
VIL1,MW
GYR3-DRAY,SW
ORBIS_MD,NE
MAF9,SW
SAN3,SW
IMXC,TX
ORBIS-ON,
HJBI-HOUSTON,TX
HEW9,NE
PHL7,NE
PPO4,MW
XEW6,NE
SUN_MAID_93631_9212_622,SW
DCX2,SW
SWA_US_SHIPBO51,MW
RIC40,NE
CLT2,SE
MEM2,SE
QKS3,MW
EWR5,NE
ATIRA WOMEN'S SOCIETY,
CSXT-NORTH KEARNY-CS,NE
BNA7,SE
MTN6,NE
PDX5-OSY2-NODE,NW
SWIFT_CHICAGO_IL1,MW
1114YM2FB_ITR,MW
ONT1,SW
MTN7,NE
HJBI_MEMPHIS,SE
STX1,TX
SCK6-OSY2,SW
DHL_REDLANDS,SW
112VD8WTK_ITR,SW
HSV2,SE
UPRR-MARION,TX
BNSF-NWOHIO-ICTF-CS,MW
111TNWC1H_ITR,NE
KCLT,SE
REYNOLDS_92571_7807_658,SW
DYY4,NE
CSXT-CINCINNATI,MW
VTX4,TX
SMO2,MW
SMA2,NE
GSP1,SE
PHX6-DRAY,SW
XDA2,TX
DIXIE_EGG_COMPANY_JACKSONVILLE,SE
CB92Q,SW
MAE4,MW
ROC5,NE
YHM5,
JB_HUNT_COMMERCE,SW
HOU2,TX
ABE4,NE
MDW5,MW
KRB6,MW
AACT-RWI,SE
LIPSEY_WAREHOUSE_TN,SE
EXLA-SNN166-A,TX
BNSF-CORWITH-TOT,MW
SAZ2,SW
BNSF-BERNARDINO,SW
SLC2,SW
MM_TIRE_AL,SE
MAC4,SW
ELP1,TX
JAX3,SE
LFT1,SE
XBN3,SE
TTN2,NE
BNSF-HOUSTON,TX
JB_HUNT_ONTARIO,SW
WNG1,TX
HGR5,NE
LAS2,SW
DAS9,NE
PSLRT,MW
SJA1,SE
USF4,SW
DUT4,SW
WSM9,MW
EXLA-PBR084,NE
CLE7,MW
KORD,MW
LAX25,SW
BTR1,SE
MTN9,NE
DJE5,NE
SAT2-OSY-NODE,TX
DHX1,TX
SBD1-OSY2-NODE,SW
HIO9,NW
MSN5,MW
BNSF-LOSANGELES,SW
96_BAKER'S_LN,NE
MTN1,NE
NSRR-LANDERS,MW
AGS2,SE
HLI2,SW
UPRR-CITYOFINDUSTRY,SW
TCY2,SW
MDW6,MW
FTW8,TX
RSW5,SE
QMS4,SE
W23899_ITR,SE
DRO2,NE
BDL2,NE
DFW7,TX
ACY1-DRAY,NE
HMW3,MW
JB_HUNT_LANCASTER,NE
TEB9,NE
SAX6,SW
FAR1,MW
TCY9,SW
CSXT-BALTIMORE-MC,NE
AADVANTAGE,SE
VENTURE__930300001_739,SW
BNA6,SE
RDU4,SE
SAV3,SE
ABE40,NE
WILLIAMSON-DICKIE_TX,TX
HRC9,NE
EWR4,NE
CAE1,SE
DAL9,TX
NSRR-CINCINNATI,MW
BNSF-LOSANGELES-SWT,SW
ORBIS_RPM,MW
MONOFLO-RECYCLE-KS,MW
DYT6,
115FT85H7_ITR,TX
SAT2,TX
MKC6-DRAY,MW
LAN2,MW
BDU2,NW
UPRR-HOUSTON,TX
DSE8,NW
KIAH,TX
JB_HUNT_77013,TX
OXR1,SW
UWA1,NW
MSP8,MW
JB_HUNT_LITHIA_SPRINGS,SE
XPH3,NE
CPS_LITT_55117__664,MW
EIK2,NW
PHL1,NE
SAH1,TX
RFD7,MW
DBK6,NE
MKC4,MW
SDM4,SW
1139671VN_ITR,NE
NSRR-NORFOLK,NE
YYZ9,
QIL5,MW
XMT2,NE
FWVR,SE
HEA1,NE
HJBIJERSEY,NE
BNSF-LOGPARKAN-TOT,MW
STX7,TX
LGB4,SW
MECHANIC_17050_773,NE
DDT4,MW
JB_HUNT_TN_INC,SE
IND1,MW
STX5,TX
SNJ3,NE
BNSF-STOCKTON-CS,SW
CSXT-INDIANAPOLIS,MW
LGA9-DRAY,NE
HOU8,TX
UTX9,TX
TAMPATRUCKSTOP,SE
KBNA,SE
DIN6,MW
BNSF-STOCKTON-TOT,SW
HCT1,SE
AUS5,TX
1129V4NRC_ITR,NE
QUAKER_R_18202_9361_967,NE
HTP9,SE
KABQ,SW
HJBI_SAN_BERNARDINO,SW
JB_HUNT_FW,TX
ILLINOIS_FLEET_NEW_LENOX_IL,MW
NSRR-CHARLOTTE,SE
SDF4,MW
GYR1,SW
SMA1,NE
LAS5,SW
ZACY,NE
OKC2,TX
UWA4,NW
WFL3,SE
112WLRKKG_ITR,SE
SWIFT_HOUSTON_TX,TX
ROC1,NE
UFL5,SE
DLN8,MW
NALC,SE
RIC3,NE
QYY6,NW
MCO5,SE
ILS3,SW
HRC1,NE
TOTE,NE
1405_NSD_60447_377,MW
DEN4,NW
MKY1,MW
UPRR-SALT LAKE CITY,SW
QBR2,SE
UNY4,NE
DXH5,MW
MAZ2_OSY2,SW
NSRR-NORFOLK-MC,NE
EXLA-NHV088,NE
SCA4,SW
BNSF-STOCKTON-MC,SW
SAT4,TX
XMS1,MW
DTW3,MW
ATL6,SE
WE_PAY_LO96B_92337_YEP,SW
BNSF-STPAUL-TOT,MW
MKC3,MW
DB_SCHEN_62025_923,MW
MDT8,NE
HPA1,NE
MGE5,SE
DCH6,MW
CSXT-BEDFORD,MW
MCO1-DRAY,SE
PDX7,NW
JB HUNT LASSEN YARD 2,SW
XSB3,SW
SMITH_TRANSPORT_WAREHOUSE,NE
MDT1,NE
RIM3,TX
DJT6,SW
YGK1,
DDT3,MW
VPA4,NE
115DCDY7P_ITR,MW
KPDX,NW
114YVNN3F_ITR,MW
SBD1,SW
SFL7,SE
NESTLE_P_52732_621,MW
OUTSIDE NSRR-NORFOLK,NE
PSC2,NW
HOU9,TX
ACY5,NE
HUBG_HOUSTON,TX
DKY4,MW
SMD1,NE
DET1,MW
YTZ1,
MAF1,NE
SDF1,MW
IND8,MW
OUTSIDE-BNSF-HOUSTON,TX
QBY1,TX
PILOT_FLYINGJ_MCCALLA_AL,SE
BNSF-PORTLAND-CS,NW
DJE9,NE
UNY2,NE
IUSP,SW
11477XRV2_ITR,TX
SFL1,SE
US_NPPC__302132994_150,SE
TOMS_C_O_92316_846,SW
RDG1,NE
MKC6,MW
SIL2,MW
DFW8,TX
MCO9,SE
MONOFLO-RECYCLE-VA,NE
KSTL,MW
BNSF-COMMERCE-CS,SW
GO,SE
DTW1,MW
SDF6,MW
GSO1,SE
PIT9,NE
VTX7,TX
DAT2,SE
DR,TX
ABS4,SW
UCA2,SW
BDL3,NE
EXLA-CBS087,MW
IGQ2,MW
BNSF-MEMPHIS-CS,SE
SAX1,SW
CSXT-NORTH KEARNY-MC,NE
BOI5,NW
XIX2,SW
KOHL_S_D_45840_129,MW
HAT2,SE
DYO5,NE
MSN4,MW
BNSF-MEMPHIS-SWT,SE
NSRR-MORRISVILLE,NE
DDF2,TX
RSAV,SE
JB_HUNT_OGDEN,MW
AACT-MDW,MW
UNV2,SW
TUL2,TX
SOH2,MW
LPR5,MW
UNJ2,NE
AACT-MEM,SE
QIL6,MW
SWF2,NE
CHO1,NE
CLT2-OSY2-NODE,SE
IGQ9,MW
DET7,MW
FTW1-OSY5-NODE,TX
QDE1,NE
LOVESSC,SE
BNSF-CICERO-MC,MW
KCDC_OGD_844047802_366,SW
DAB2,SE
TPA1-DRAY,SE
BNSF-BERNARDINO-MC,SW
AZA5,SW
SBD3,SW
,
IAH2,TX
XMI3,SE
SAT6,TX
XSA2,MW
CARDINAL_29646_336,SE
DAL3-DRAY,TX
XEW4,NE
PCA4,SW
ORF2-OSY1-NODE,NE
HVP1,NE
REHRIG_PTP,TX
HMK9,MW
AMPLIFY SNACK BRANDS,MW
PTX1,TX
BNSF-STPAUL-MC,MW
ONTARIO__91761_3619_762,SW
AACT-SAT,TX
CSXT-NORTH KEARNY,NE
ORF3,NE
BNSF-BERNARDINO-CS,SW
BNSF-FAIRBURN-MC,SE
LNRV,SW
GYR4,SW
CSXT-CENTRAL FLORIDA ILC-SWT,SE
BROTHER__38133_815,SE
POH2,MW
DUR1,SW
DDP3,NE
YVR4,
BNSF-SOUTHSEATTLE-TOT,NW
YYC4,
WP6D3,MW
WESTROCK_13204_1035_748,NE
YYZ4,
POC3,SW
FSD1,MW
DEN5,NW
SBW1,NE
JBHUNT_SAN_2626,SW
STL7,MW
OWD9,NE
LAS7,SW
SMF6,SW
QTY1,TX
XHH3,SE
VUCA,MW
STL8-DRAY,MW
SNY2,NE
LGB8,SW
TPA3,SE
COS1,NW
CLT5,SE
HNY1,NE
BNSF-WILLOWSPRINGS-TOT,MW
MQY1,SE
EWR7,NE
BWI1,NE
PCA1,SW
CNG_GAS_STATION,SE
GRTR_CHI_604500001_764,MW
XMC1,MW
DET6-OSY2-NODE,MW
JB HUNT_INDIANAPOLIS,MW
OUTSIDE-CSXT-TAMPA,SE
VEA4,SE
OMA2,MW
ONT4,SW
1147ZG3MF_ITR,SW
WBM4,SE
BNSF-BERNARDINO-TE,SW
HLO9,MW
